Pop	estimate	statistic	p.value	parameter	conf.low	conf.high	method	alternative	Pop1	mean_diff	iter	m	h2
EUR	0.347012916443631	36.9967888579724	6.29200035677654e-281	9998	0.329654987405924	0.364136321465153	Pearson's product-moment correlation	two.sided	EUR	7.93283472426214e-16	51	200	0.67
AFR	0.507995883484887	58.9701609337728	0	9998	0.493307555895834	0.522394598520427	Pearson's product-moment correlation	two.sided	AFR	1.0229334360904e-15	52	200	0.67
ALL	0.523337321015178	106.371244766645	0	29998	0.515071662976602	0.531505656062632	Pearson's product-moment correlation	two.sided	ALL	3.960676913799e-15	52	200	0.67
EAS	0.47189799916216	53.5188703803487	0	9998	0.456520393017482	0.48699375010196	Pearson's product-moment correlation	two.sided	EAS	6.01586919927837e-16	52	200	0.67
EUR	0.80169905001611	134.111003763178	0	9998	0.794584571449919	0.808593402807017	Pearson's product-moment correlation	two.sided	EUR	1.03795180539682e-14	52	200	0.67
AFR	0.158130051484922	16.0128932885939	5.29626026180078e-57	9998	0.138960670637858	0.17718097385002	Pearson's product-moment correlation	two.sided	AFR	1.05216981062864e-16	53	200	0.67
ALL	0.294219125333227	53.3185341300173	0	29998	0.283848219812925	0.304521202926249	Pearson's product-moment correlation	two.sided	ALL	1.73834732752004e-15	53	200	0.67
EAS	0.703996355498859	99.1160799101289	0	9998	0.693971972996772	0.713747862801126	Pearson's product-moment correlation	two.sided	EAS	1.58255307403813e-15	53	200	0.67
EUR	0.585877160790728	72.2875941147599	0	9998	0.572855322136588	0.59860332907256	Pearson's product-moment correlation	two.sided	EUR	3.53517665445044e-15	53	200	0.67
AFR	0.0374744568396678	3.74970476634749	0.000178041666129928	9998	0.0178875252602146	0.0570326362576898	Pearson's product-moment correlation	two.sided	AFR	1.12359076036295e-15	54	200	0.67
ALL	0.0596652222621215	10.3524185742257	4.49730741624144e-25	29998	0.0483819480742482	0.0709332705168462	Pearson's product-moment correlation	two.sided	ALL	-3.34954318739249e-15	54	200	0.67
EAS	0.0772177635287865	7.74412615238663	1.05572977969741e-14	9998	0.0577050285622779	0.0966715237347138	Pearson's product-moment correlation	two.sided	EAS	-5.10298035381537e-15	54	200	0.67
EUR	0.269434718828014	27.9753431836141	7.09092946736342e-166	9998	0.251161014912734	0.28751643199066	Pearson's product-moment correlation	two.sided	EUR	-6.07303948612064e-15	54	200	0.67
AFR	0.0327938474849641	3.28082142563344	0.00103859749996162	9998	0.013202263392183	0.0523602623155403	Pearson's product-moment correlation	two.sided	AFR	8.25735183354603e-16	55	200	0.67
ALL	0.09205019185015	16.0110062865007	1.8535047066436e-57	29998	0.0808184349820433	0.103258574295851	Pearson's product-moment correlation	two.sided	ALL	-5.62308915612377e-15	55	200	0.67
EAS	0.152490936629397	15.4280011708579	4.3300344786345e-53	9998	0.133289245928395	0.171578188075326	Pearson's product-moment correlation	two.sided	EAS	-3.46484747834673e-16	55	200	0.67
EUR	0.288773966280085	30.1593796471981	2.51624497822577e-191	9998	0.270706090027971	0.306638465647175	Pearson's product-moment correlation	two.sided	EUR	-1.73480782419532e-14	55	200	0.67
AFR	0.0739270512620929	7.41224831146245	1.34238985366451e-13	9998	0.0544058139448897	0.0933917988470162	Pearson's product-moment correlation	two.sided	AFR	-1.62738780784544e-15	56	200	0.67
ALL	0.109755405171774	19.1251020186352	4.74532316967686e-81	29998	0.0985618774687295	0.12092116296433	Pearson's product-moment correlation	two.sided	ALL	-2.49114482794609e-15	56	200	0.67
EAS	0.0819902205999074	8.22589761202537	2.17851300485697e-16	9998	0.0624905738287439	0.101427295511749	Pearson's product-moment correlation	two.sided	EAS	-4.29662443133177e-15	56	200	0.67
EUR	0.338852686097226	36.01239315887	3.79976603581101e-267	9998	0.321387120343037	0.356087786117682	Pearson's product-moment correlation	two.sided	EUR	-1.54852457625362e-15	56	200	0.67
AFR	0.184159882665586	18.7345771527606	5.33996437545382e-77	9998	0.165155950762654	0.203027116830109	Pearson's product-moment correlation	two.sided	AFR	3.215481635295e-15	57	200	0.67
